epoch,lr,train_loss,train_acc,val_loss,val_acc,val_prec,val_rec,val_f1
1,3.00e-04,0.334302,0.981827,0.300342,0.996634,0.996639,0.996634,0.996634
2,2.93e-04,0.304401,0.995117,0.305083,0.993861,0.993902,0.993861,0.993860
3,2.71e-04,0.300251,0.996391,0.296871,0.997822,0.997829,0.997822,0.997822
4,2.38e-04,0.299219,0.996561,0.296486,0.997822,0.997826,0.997822,0.997822
5,1.97e-04,0.295331,0.998004,0.296684,0.997030,0.997031,0.997030,0.997030
6,1.50e-04,0.294561,0.998854,0.293184,0.999208,0.999208,0.999208,0.999208
7,1.04e-04,0.292586,0.999575,0.292891,0.999208,0.999208,0.999208,0.999208
8,6.26e-05,0.292359,0.999660,0.292932,0.999406,0.999406,0.999406,0.999406
9,2.96e-05,0.291955,0.999745,0.292193,0.999604,0.999604,0.999604,0.999604
10,8.32e-06,0.291558,0.999915,0.292246,0.999604,0.999604,0.999604,0.999604
11,3.00e-04,0.314458,0.989682,0.300102,0.995644,0.995652,0.995644,0.995644
12,2.93e-04,0.299576,0.995754,0.294657,0.998416,0.998416,0.998416,0.998416
13,2.71e-04,0.296362,0.997665,0.295762,0.997624,0.997627,0.997624,0.997624
14,2.38e-04,0.294134,0.998641,0.294354,0.998812,0.998813,0.998812,0.998812
15,1.97e-04,0.294592,0.998769,0.294058,0.998416,0.998416,0.998416,0.998416
16,1.50e-04,0.293712,0.998854,0.292979,0.999010,0.999010,0.999010,0.999010
17,1.04e-04,0.292350,0.999363,0.293270,0.999208,0.999208,0.999208,0.999208
18,6.26e-05,0.291965,0.999703,0.293497,0.999010,0.999011,0.999010,0.999009
19,2.96e-05,0.291866,0.999703,0.292901,0.999208,0.999208,0.999208,0.999208
